artist_id,artist_name
222664,ABD
artist_id,artist_name
1039011,Bilal Enwer
2059,毕书尽
1131033,拜合提亚bahtiyar aziz
1181417,拜合提亚尔塔依尔
777662,白水
2034,鲍比达
2104,Beatsound
909029,白举纲
1060060,斑辣个马
2026,布仁巴雅尔
2060,白羽
2063,白玛多吉
1094177,包威尔
1048054,Braska
2087,波拉
2098,暴林
2065,布川
1054040,冰块先生
2055,白天不亮
2033,包朝克
2049,卞留念
1060169,BRAVEE
816079,薄彩生
1085053,变奏的梦想
2103,血男孩
2032,贝玛千贝仁波切
1081384,白不二
2048,百慕三石
1047011,白客
1047238,白挺
1057198,B.C.W.懒领阶级
839689,SAM努尔夏提
2027,卜学亮
1065002,Bikman
2061,包伍
228408,Bloody Woods
905711,白成永
2056,拜尔
1032373,边远
1040104,Blindman
1124078,B.K.G
1050807,白宁
2089,布朗
868113,BigKey
743043,宾俊杰
2071,白龙
2030,百川
2073,鲍元恺
1078050,BHTY-R
1060124,周迪
1047057,BEC包子
2101,Barry
1084207,白亮
2031,白驹荣
1044102,H.O.S.T
1040095,菠萝大哥
2036,滨哥
1057197,薄汉雄
969082,背背
1008035,BillySmith
2040,毕国勇
2083,白云
1039537,BEATS W
1165010,卜风疯
1053147,笨笨口琴
189947,保剑锋
1047265,波仔
1023123,鲍文洋
1038354,边边
1131053,碧姐
1032195,白云飞
1124422,白力一男
2042,白水老人
2084,包伟铭
905110,边欣
1038088,贝歌
816200,鲍国
2052,比利
1049899,BRET
1041040,百里熙
1081023,李胜伟
1057274,包青山
1046167,背包客
962220,Baadsvik
2039,白子正
854299,包飞
1044046, 梁靖如
1049372,白浩
2024,保新谊
1049871,包尔淦
1039313,Bunny
1132200,包胡尔查
1080017,Bjergsen
1047363,巴特尔道尔吉
1132662,鲍昕宇Aspada
1032014,包启宁
1057078,Badkiz
2072,白鹤
2050,白音孟和
2025,B6
artist_id,artist_name
2116,陈奕迅
2112,陈小春
2115,陈百强
2122,陈冠希
2201,陈势安
2127,陈柏宇
1058228,陈鸿宇
2117,侧田
2111,崔健
2121,蔡旻佑
2124,陈楚生
963409,陈学冬
2159,曹轩宾
2118,成龙
2153,常石磊
2125,陈晓东
2134,陈坤
2150,陈冠蒲
2135,陈勋奇
2131,川子
2331,陈翔
6862,曾志豪
2164,陈伟霆
2110,曹格
6557,曾一鸣
6608,曾志伟
2294,陈光荣
2312,C AllStar
168042,曹寅
2130,蔡国权
2321,陈思诚
2429,陈柏霖
2375,蔡志展
991003,崔跃文
2133,陈奂仁
2147,陈旭
2173,陈星
2414,曹越
2336,程池
2141,陈雷
1080133,陈乐基
2138,陈浩民
2174,陈底里
826307,陈晓
2440,陈伟伦
2329,蔡晓
1132979,蔡照
2209,陈少华
2276,崔京浩
1135204,陈秋实
2264,迟志强
2448,曹秦
2139,陈冠宇
2230,陈雅森
2132,陈建骐
2330,晨熙
2137,蔡小虎
2190,崔恕
941023,曹槽
2119,蔡国庆
2113,车继铃
1135118,陈咏谦
2165,陈占美
2187,陈宁
6740,曾春年
6790,曾昱嘉
224360,陈亮
1028199,菜小宝丶
5914,蔡仁皓
2154,成公亮
2423,陈羽凡
2123,陈明章
6521,曾航生
2202,陈其钢
1060096,大彻
1081164,陈川
2136,蔡枫华
187926,陈玉建
2327,陈杰瑞
2285,崔弦亮
1049979,陈建斌
2237,陈豪
2163,常宽
818622,Chinsta
1014024,茶季杨
2283,陈展鹏
2148,陈志朋
2389,陈咏
942004,陈阳
2245,陈军
2120,陈建年
727005,陈赫
2323,陈小平
1007135,陈小虎
2157,陈志远
2224,春雷
2128,陈永淘
2371,曹磊
1039211,超级猴子
168015,褚乔
artist_id,artist_name
791534,戴荃
2516,迪克牛仔
2517,刀郎
2515,窦唯
2514,蛋堡
2578,大冰
2623,邓超
2513,冬子
2699,东篱
2607,多亮
188681,大鹏
5068,单色凌
1057271,Dilshad Ghopur
2518,东来东往
1038381,DJ张扬
2569,丁可
896942,冬子
2545,丁于
2524,大张伟
671001,东南
783379,杜歌
2522,杜德伟
2614,大哲
1135138,DJ浩宝
1025229,DJ YiXiu 
2610,丁浩然
2520,东山少爷
2525,戴玉强
859031,大飞
2548,杜聪
2591,单小源
2527,DJ宝贝
2519,董运昌
2617,邓川
2531,邓健泓
2521,邓伟标
2682,丁炜
2529,杜昆
1041109,大军
2692,大军
2888,狄易达
2632,代理仁
1019358,DJ跳跃
2526,窦鹏
2554,戴军
2528,刁寒
2532,丁咚
1043177,____Vzz
1132492,DJNolyn
1066056,dj皇家礼炮
955037,丁乔
1019366,丁童
1088061,DELA
2584,大宝法王
2600,Doe
2602,邓杰
2564,杜昊
1049123,Danijay
2575,段千寻
2675,杜淳
189918,杜海涛
854273,杜鹏
831288,丁克森
2530,杜冲
1085060,DJ 凌晨
805087,德宏老爹
2616,丁少华
826382,大眼炮
961021,东方健
789136,大宁
2537,邓健明
1047424,杜光祎
2562,窦智孔
855537,丁衣凡
1087261,大张雨
2631,丁承运
1039910,DJ RETINA
1083066,D蒙介
1050280,于亮
2585,大冲
774232,邓养天
896232,大兵
1050481,DJ Carmen
2650,戴亚
2599,都智文
2651,登格尔
1050641,大坏兔子
1081314,djokawa official
966134,逗青
947023,董冬冬
1058138,大琴师音乐游戏
1058207,电音style
2586,Desolate
1032057,DanFII
1060122,DJLayDiMusic
1043205,DJ骏仔
868012,多杰太阳
1075087,dj黑人blackz
2544,Dick Lee
1057162,德格叶
artist_id,artist_name
896894,贰佰
1039899,eliaqsopa
189955,贰婶
1085108,哦漏
2714,EDIQ
1046270,ETIRAZ
2722,E.SO
1053149,EDMarco
966153,EdJean
2727,二文
